[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 65, 'limit': 1000}
[extract] year=2024 page=65 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 66, 'limit': 1000}
[extract] year=2024 page=66 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 67, 'limit': 1000}
[extract] year=2024 page=67 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 68, 'limit': 1000}
[extract] year=2024 page=68 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 69, 'limit': 1000}
[extract] year=2024 page=69 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 70, 'limit': 1000}
[extract] year=2024 page=70 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 71, 'limit': 1000}
[extract] year=2024 page=71 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 72, 'limit': 1000}
[extract] year=2024 page=72 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 73, 'limit': 1000}
[extract] year=2024 page=73 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 74, 'limit': 1000}
[extract] year=2024 page=74 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 75, 'limit': 1000}
[extract] year=2024 page=75 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 76, 'limit': 1000}
[extract] year=2024 page=76 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 77, 'limit': 1000}
[extract] year=2024 page=77 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 78, 'limit': 1000}
[extract] year=2024 page=78 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 79, 'limit': 1000}
[extract] year=2024 page=79 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 80, 'limit': 1000}
[extract] year=2024 page=80 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 81, 'limit': 1000}
[extract] year=2024 page=81 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 82, 'limit': 1000}
[extract] year=2024 page=82 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 83, 'limit': 1000}
[extract] year=2024 page=83 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 84, 'limit': 1000}
[extract] year=2024 page=84 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 85, 'limit': 1000}
[extract] year=2024 page=85 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 86, 'limit': 1000}
[extract] year=2024 page=86 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 87, 'limit': 1000}
[extract] year=2024 page=87 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 88, 'limit': 1000}
[extract] year=2024 page=88 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 89, 'limit': 1000}
[extract] year=2024 page=89 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 90, 'limit': 1000}
[extract] year=2024 page=90 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 91, 'limit': 1000}
[extract] year=2024 page=91 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 92, 'limit': 1000}
[extract] year=2024 page=92 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 93, 'limit': 1000}
[extract] year=2024 page=93 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 94, 'limit': 1000}
[extract] year=2024 page=94 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 95, 'limit': 1000}
[extract] year=2024 page=95 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 96, 'limit': 1000}
[extract] year=2024 page=96 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 97, 'limit': 1000}
[extract] year=2024 page=97 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 98, 'limit': 1000}
[extract] year=2024 page=98 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 99, 'limit': 1000}
[extract] year=2024 page=99 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 100, 'limit': 1000}
[extract] year=2024 page=100 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 101, 'limit': 1000}
[extract] year=2024 page=101 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 102, 'limit': 1000}
[extract] year=2024 page=102 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 103, 'limit': 1000}
[extract] year=2024 page=103 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 104, 'limit': 1000}
[extract] year=2024 page=104 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 105, 'limit': 1000}
[extract] year=2024 page=105 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 106, 'limit': 1000}
[extract] year=2024 page=106 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 107, 'limit': 1000}
[extract] year=2024 page=107 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 108, 'limit': 1000}
[extract] year=2024 page=108 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 109, 'limit': 1000}
[extract] year=2024 page=109 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 110, 'limit': 1000}
[extract] year=2024 page=110 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 111, 'limit': 1000}
[extract] year=2024 page=111 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 112, 'limit': 1000}
[extract] year=2024 page=112 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 113, 'limit': 1000}
[extract] year=2024 page=113 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 114, 'limit': 1000}
[extract] year=2024 page=114 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 115, 'limit': 1000}
[extract] year=2024 page=115 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 116, 'limit': 1000}
[extract] year=2024 page=116 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 117, 'limit': 1000}
[extract] year=2024 page=117 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 118, 'limit': 1000}
[extract] year=2024 page=118 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 119, 'limit': 1000}
[extract] year=2024 page=119 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 120, 'limit': 1000}
[extract] year=2024 page=120 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 121, 'limit': 1000}
[extract] year=2024 page=121 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 122, 'limit': 1000}
[extract] year=2024 page=122 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 123, 'limit': 1000}
[extract] year=2024 page=123 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 124, 'limit': 1000}
[extract] year=2024 page=124 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 125, 'limit': 1000}
[extract] year=2024 page=125 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 126, 'limit': 1000}
[extract] year=2024 page=126 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 127, 'limit': 1000}
[extract] year=2024 page=127 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 128, 'limit': 1000}
[extract] year=2024 page=128 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 129, 'limit': 1000}
[extract] year=2024 page=129 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 130, 'limit': 1000}
[extract] year=2024 page=130 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 131, 'limit': 1000}
[extract] year=2024 page=131 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 132, 'limit': 1000}
[extract] year=2024 page=132 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 133, 'limit': 1000}
[extract] year=2024 page=133 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 134, 'limit': 1000}
[extract] year=2024 page=134 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 135, 'limit': 1000}
[extract] year=2024 page=135 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 136, 'limit': 1000}
[extract] year=2024 page=136 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 137, 'limit': 1000}
[extract] year=2024 page=137 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 138, 'limit': 1000}
[extract] year=2024 page=138 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 139, 'limit': 1000}
[extract] year=2024 page=139 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 140, 'limit': 1000}
[extract] year=2024 page=140 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 141, 'limit': 1000}
[extract] year=2024 page=141 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 142, 'limit': 1000}
[extract] year=2024 page=142 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 143, 'limit': 1000}
[extract] year=2024 page=143 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 144, 'limit': 1000}
[extract] year=2024 page=144 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 145, 'limit': 1000}
[extract] year=2024 page=145 records=1,000
